learning_rate,discount_factor,epsilon,win_rate,profit
0.001,0.8,0.9,0.43364590667043557,-24476.5
0.001,0.8,0.95,0.43693376469075107,-1935.5
0.001,0.8,0.99,0.4477814837585369,22479.5
0.001,0.8,0.995,0.45131841874929923,34486.0
0.001,0.8,0.999,0.4491844761913218,44884.5
0.001,0.9,0.9,0.43373332367561884,-14005.5
0.001,0.9,0.95,0.43614698130861146,11900.0
0.001,0.9,0.99,0.44512167483875786,40910.5
0.001,0.9,0.995,0.44308729552904497,21557.5
0.001,0.9,0.999,0.44630199078370114,27774.5
0.001,0.95,0.9,0.43856703965128835,4969.5
0.001,0.95,0.95,0.4402260496785667,11478.0
0.001,0.95,0.99,0.44953362671215014,41251.0
0.001,0.95,0.995,0.4465777605715468,41093.0
0.001,0.95,0.999,0.4465119876119269,43027.0
0.001,0.99,0.9,0.4311955630164876,-17813.5
0.001,0.99,0.95,0.4434795041383583,28597.0
0.001,0.99,0.99,0.4467870148917168,36324.0
0.001,0.99,0.995,0.4482908570241689,49727.5
0.001,0.99,0.999,0.44115840060757283,22184.5
0.005,0.8,0.9,0.42884577723594164,-14260.0
0.005,0.8,0.95,0.4346766385990233,2741.0
0.005,0.8,0.99,0.4394859395636017,26049.5
0.005,0.8,0.995,0.442200835954126,34989.5
0.005,0.8,0.999,0.4457422201068389,42001.0
0.005,0.9,0.9,0.4347275054373607,-1685.0
0.005,0.9,0.95,0.44002660729265425,21677.5
0.005,0.9,0.99,0.44339840539722725,39183.5
0.005,0.9,0.995,0.4426529271748829,42210.5
0.005,0.9,0.999,0.4373444822082639,16339.0
0.005,0.95,0.9,0.4329198042218997,3236.5
0.005,0.95,0.95,0.4366152223891999,11220.5
0.005,0.95,0.99,0.43719122156878054,12646.0
0.005,0.95,0.995,0.4417492711370262,30643.5
0.005,0.95,0.999,0.44270154038203785,34012.5
0.005,0.99,0.9,0.4392316648293409,19086.5
0.005,0.99,0.95,0.44225002880598524,26685.0
0.005,0.99,0.99,0.44413958389658176,45382.0
0.005,0.99,0.995,0.4437357015973087,40468.0
0.005,0.99,0.999,0.44235510606027934,35670.5
0.01,0.8,0.9,0.43186858162421854,-4875.5
0.01,0.8,0.95,0.4331188230531983,6769.5
0.01,0.8,0.99,0.4433464329766788,40420.0
0.01,0.8,0.995,0.4394328450102312,23462.5
0.01,0.8,0.999,0.4313840570516325,4973.0
0.01,0.9,0.9,0.4268966513483988,-24746.5
0.01,0.9,0.95,0.4363752973319158,-9798.0
0.01,0.9,0.99,0.4325233040181598,6360.5
0.01,0.9,0.995,0.43160879711734523,6796.5
0.01,0.9,0.999,0.4343775717044386,18997.0
0.01,0.95,0.9,0.4267639143632194,-11897.5
0.01,0.95,0.95,0.4301260526523083,-10415.0
0.01,0.95,0.99,0.44153894834942675,26439.5
0.01,0.95,0.995,0.44239310513403163,38528.5
0.01,0.95,0.999,0.44317318759799523,39116.5
0.01,0.99,0.9,0.4344585711970322,298.5
0.01,0.99,0.95,0.43852737635031813,6849.0
0.01,0.99,0.99,0.44339474041221927,29517.0
0.01,0.99,0.995,0.4406493868323924,29392.0
0.01,0.99,0.999,0.4412673540323156,24453.0
0.1,0.8,0.9,0.41476608823683603,-20856.0
0.1,0.8,0.95,0.41784323729223166,-6308.5
0.1,0.8,0.99,0.4037355295126483,-15271.0
0.1,0.8,0.995,0.40798304829819426,2965.0
0.1,0.8,0.999,0.3959421306286865,-38585.0
0.1,0.9,0.9,0.40080384277812664,-60711.0
0.1,0.9,0.95,0.4046234694046474,-51669.5
0.1,0.9,0.99,0.40407139528246333,-19691.5
0.1,0.9,0.995,0.411167873975896,28244.5
0.1,0.9,0.999,0.40276430222096776,7158.5
0.1,0.95,0.9,0.4162250993144312,3551.5
0.1,0.95,0.95,0.4015580667405645,-36065.0
0.1,0.95,0.99,0.39201904964097506,-44742.0
0.1,0.95,0.995,0.39523464384471874,-21573.0
0.1,0.95,0.999,0.39997739374402536,6102.5
0.1,0.99,0.9,0.4180233968222843,17103.5
0.1,0.99,0.95,0.40647896520081883,-3106.0
0.1,0.99,0.99,0.4112773782038603,21464.5
0.1,0.99,0.995,0.40690943958789727,21008.5
0.1,0.99,0.999,0.4149540580804085,51890.5
0.2,0.8,0.9,0.4055948336546996,-28955.5
0.2,0.8,0.95,0.3935695078581673,-51132.5
0.2,0.8,0.99,0.3531302456375187,-140647.5
0.2,0.8,0.995,0.38113097660580714,-41848.0
0.2,0.8,0.999,0.36547515166082317,-71525.5
0.2,0.9,0.9,0.40003195376061335,-33344.0
0.2,0.9,0.95,0.3960820173741779,-41397.5
0.2,0.9,0.99,0.37919705631118994,-74757.0
0.2,0.9,0.995,0.3831510289605103,-40749.5
0.2,0.9,0.999,0.37297276276971647,-66509.0
0.2,0.95,0.9,0.4081279047164643,-32121.5
0.2,0.95,0.95,0.39947552908773365,-23311.0
0.2,0.95,0.99,0.38773098876658296,-21375.0
0.2,0.95,0.995,0.36071757885933625,-105362.0
0.2,0.95,0.999,0.3660112913597129,-83364.5
0.2,0.99,0.9,0.3872526459111809,-60386.0
0.2,0.99,0.95,0.4012927867115539,9449.0
0.2,0.99,0.99,0.38549722588422736,-42104.0
0.2,0.99,0.995,0.3748998916882179,-40657.5
0.2,0.99,0.999,0.3648932736754666,-86123.0
0.5,0.8,0.9,0.3737800020989211,-98039.5
0.5,0.8,0.95,0.35648081448398405,-129637.5
0.5,0.8,0.99,0.3231350648508664,-206236.0
0.5,0.8,0.995,0.3465469476431385,-124389.0
0.5,0.8,0.999,0.31151597469820247,-217179.0
0.5,0.9,0.9,0.37164858170361387,-98569.5
0.5,0.9,0.95,0.37798396797512657,-91793.5
0.5,0.9,0.99,0.3366272029603496,-166831.5
0.5,0.9,0.995,0.30585209026629867,-258668.0
0.5,0.9,0.999,0.30637072404474636,-244561.0
0.5,0.95,0.9,0.3604100208716195,-149605.0
0.5,0.95,0.95,0.3667993431124224,-105234.5
0.5,0.95,0.99,0.3477946851714263,-156251.0
0.5,0.95,0.995,0.31985788554567535,-224978.5
0.5,0.95,0.999,0.3226046221111805,-202382.0
0.5,0.99,0.9,0.3708405954108769,-139927.0
0.5,0.99,0.95,0.37612396864795633,-76522.5
0.5,0.99,0.99,0.33319704592620125,-184941.0
0.5,0.99,0.995,0.30408547947759357,-257126.5
0.5,0.99,0.999,0.3124702170075834,-238135.0
1.0,0.8,0.9,0.3037273004104571,-300394.0
1.0,0.8,0.95,0.18951839666089348,-573196.0
1.0,0.8,0.99,0.2268484031267975,-480734.5
1.0,0.8,0.995,0.19850253513387897,-542325.0
1.0,0.8,0.999,0.20741989081865136,-522772.0
1.0,0.9,0.9,0.2526176032667984,-438401.0
1.0,0.9,0.95,0.21814746045549627,-496805.0
1.0,0.9,0.99,0.20798116007484355,-522694.5
1.0,0.9,0.995,0.2298595262785809,-459618.5
1.0,0.9,0.999,0.22894814488023899,-466857.5
1.0,0.95,0.9,0.24052465718422622,-466982.5
1.0,0.95,0.95,0.2542482125510453,-426803.0
1.0,0.95,0.99,0.20673692151731618,-519277.5
1.0,0.95,0.995,0.2251041563197538,-483454.0
1.0,0.95,0.999,0.21277130780786033,-512260.0
1.0,0.99,0.9,0.2619554734713787,-427407.5
1.0,0.99,0.95,0.21706947882051691,-510590.0
1.0,0.99,0.99,0.18541432515897044,-579060.5
1.0,0.99,0.995,0.20922014971568006,-522406.5
1.0,0.99,0.999,0.19706185973319507,-546027.5
